Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2022-05-14 04:31:33,32.3182,-86.9023,1304710,19628,,,1.0,26609.438558814323,7644184.0,,1.504395612818174,84000001.0,USA,155902.41852999633,
Alaska,US,2022-05-14 04:31:33,61.3707,-152.4044,256089,1268,,,2.0,35006.59562979721,,,0.4951403613587464,84000002.0,USA,,
American Samoa,US,2022-05-14 04:31:33,-14.271,-170.132,5999,30,,,60.0,10781.617871713304,,,0.5000833472245374,16.0,ASM,,
Arizona,US,2022-05-14 04:31:33,33.7298,-111.4312,2030925,30230,,,4.0,27902.238814890043,19368861.0,,1.4884843113359676,84000004.0,USA,266102.6799091104,
Arkansas,US,2022-05-14 04:31:33,34.9697,-92.3731,838251,11415,,,5.0,27776.853632641483,5141177.0,,1.3617639585279349,84000005.0,USA,170361.52778643015,
California,US,2022-05-14 04:31:33,36.1162,-119.6816,9354332,90782,,,6.0,23662.73595894617,163751380.0,,0.970964439077174,84000006.0,USA,414432.2125333216,
Colorado,US,2022-05-14 04:31:33,39.0598,-105.3111,1407405,12513,,,8.0,24439.47769093773,17560878.0,,0.8890830997474075,84000008.0,USA,304943.2722736378,
Connecticut,US,2022-05-14 04:31:33,41.5978,-72.7554,779460,10914,,,9.0,21862.47558751932,14140065.0,,1.400200138557463,84000009.0,USA,396603.8358202299,
Delaware,US,2022-05-14 04:31:33,39.3185,-75.5071,267265,2931,,,10.0,27446.58870116373,3286478.0,,1.0966643593437224,84000010.0,USA,337502.51601003937,
Diamond Princess,US,2022-05-14 04:31:33,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2022-05-14 04:31:33,38.8974,-77.0268,144675,1340,,,11.0,20499.49769677321,,,0.9262139277691376,84000011.0,USA,,
Florida,US,2022-05-14 04:31:33,27.7663,-81.6868,6002153,74178,,,12.0,27945.92838156087,57590561.0,,1.2358565334805691,84000012.0,USA,268140.73102766834,
Georgia,US,2022-05-14 04:31:33,33.0406,-83.6431,2530918,38086,,,13.0,23837.4038596748,18055397.0,,1.504829472942229,84000013.0,USA,170054.41904311432,
