Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
Alabama,US,2020-07-24 05:30:54,32.3182,-86.9023,74685,1397,32510.0,40778.0,1.0,1523.1935976309276,,8995.0,,84000001.0,USA,18842.75221106281,12.120681291435348,2020-07-23,923895.0,1.8705228626899648
Alaska,US,2020-07-24 05:30:54,61.3707,-152.4044,2234,19,787.0,1428.0,2.0,305.38107703558904,,,,84000002.0,USA,25905.30999460047,,2020-07-23,189509.0,0.8504923903312444
American Samoa,US,2020-07-24 05:30:54,-14.271,-170.132,0,0,,,60.0,0.0,,,,16.0,ASM,1863.7335777574087,,2020-07-23,1037.0,
Arizona,US,2020-07-24 05:30:54,33.7298,-111.4312,152944,3063,19737.0,130144.0,4.0,2101.249437229116,,7236.0,,84000004.0,USA,11302.994744815604,4.73114342504446,2020-07-23,1208695.0,2.00269379642222
Arkansas,US,2020-07-24 05:30:54,34.9697,-92.3731,36259,386,28864.0,7009.0,5.0,1201.5028146294458,,2361.0,,84000005.0,USA,14794.864079973384,6.511486803276428,2020-07-23,446480.0,1.064563280840619
California,US,2020-07-24 05:30:54,36.1162,-119.6816,439442,8133,,,6.0,1112.1064992976983,,,,84000006.0,USA,17154.954809806575,,2020-07-23,6778304.0,1.840388878015921
Colorado,US,2020-07-24 05:30:54,39.0598,-105.3111,42313,1786,5095.0,35432.0,8.0,734.7619338688212,,6133.0,,84000008.0,USA,8081.825595061138,14.50053197777515,2020-07-23,465411.0,4.220925011225864
Connecticut,US,2020-07-24 05:30:54,41.5978,-72.7554,48232,4410,8516.0,35306.0,9.0,1352.822367455972,,10712.0,,84000009.0,USA,19294.04280777396,22.209321612207663,2020-07-23,687888.0,9.143307347818876
Delaware,US,2020-07-24 05:30:54,39.3185,-75.5071,13924,590,7893.0,5441.0,10.0,1429.9152566741018,235480.0,,,84000010.0,USA,2.418245077862809e-06,,2020-07-23,162351.0,4.237288135593221
Diamond Princess,US,2020-07-24 05:30:54,,,49,0,,,88888.0,,,,,84088888.0,USA,,,2020-07-23,,0.0
District of Columbia,US,2020-07-24 05:30:54,38.8974,-77.0268,11571,581,2020.0,8970.0,11.0,1639.5347354371029,,,,84000011.0,USA,22957.31201886223,,2020-07-23,162021.0,5.021173623714459
Florida,US,2020-07-24 05:30:54,27.7663,-81.6868,389868,5518,,,12.0,1815.219173230401,,22991.0,,84000012.0,USA,24459.709139747825,5.897124154842151,2020-07-23,5253392.0,1.4153508366934449
Georgia,US,2020-07-24 05:30:54,33.0406,-83.6431,156607,3361,,,13.0,1475.000101248674,,16353.0,,84000013.0,USA,12591.925554816831,10.44206197679542,2020-07-23,1336938.0,2.1461365073081025
Grand Princess,US,2020-07-24 05:30:54,,,103,3,,,99999.0,,,,,84099999.0,USA,,,2020-07-23,,2.912621359223301
Guam,US,2020-07-24 05:30:54,13.4443,144.7937,337,5,244.0,88.0,66.0,205.201273831053,,,,316.0,GUM,11851.743601921708,,2020-07-23,19464.0,1.483679525222552
Hawaii,US,2020-07-24 05:30:54,21.0943,-157.4983,1490,26,1113.0,351.0,15.0,105.23550151426116,,154.0,,84000015.0,USA,7685.228608235772,10.335570469798656,2020-07-23,108813.0,1.74496644295302
Idaho,US,2020-07-24 05:30:54,44.2405,-114.4788,16737,138,4746.0,11853.0,16.0,936.5635833055876,,674.0,,84000016.0,USA,8775.618122452177,4.027006034534265,2020-07-23,156826.0,0.8245205233912888
Illinois,US,2020-07-24 05:30:54,40.3495,-88.9861,168096,7560,,,17.0,1326.533889643801,,,,84000017.0,USA,18855.75877373899,,2020-07-23,2389368.0,4.497430039977156
Indiana,US,2020-07-24 05:30:54,39.8494,-86.2583,59602,2803,42603.0,14196.0,18.0,885.3247346825764,883439.0,8066.0,,84000018.0,USA,1.3122552905661568e-06,13.533102916009527,2020-07-23,666283.0,4.702862320056374
Iowa,US,2020-07-24 05:30:54,42.0115,-93.2105,40796,820,28924.0,11052.0,19.0,1293.029948622376,,,,84000019.0,USA,13828.09256213016,,2020-07-23,436286.0,2.0100009804882832
Kansas,US,2020-07-24 05:30:54,38.5266,-96.7265,23955,322,1050.0,22583.0,20.0,822.2594612183925,,1545.0,,84000020.0,USA,9222.692782171782,6.449323760227083,2020-07-23,268686.0,1.3441870173241497
Kentucky,US,2020-07-24 05:30:54,37.6681,-84.6701,25147,684,7046.0,17417.0,21.0,562.8657245057998,,2921.0,,84000021.0,USA,11746.495323180548,11.615699685847218,2020-07-23,524795.0,2.7200063625879825
Louisiana,US,2020-07-24 05:30:54,31.1695,-91.8678,101650,3574,61456.0,36620.0,22.0,2186.5886077120217,,,,84000022.0,USA,25272.5330483562,,2020-07-23,1174868.0,3.515986227250369
Maine,US,2020-07-24 05:30:54,44.6939,-69.3819,3737,118,3239.0,380.0,23.0,278.0067429839936,,378.0,,84000023.0,USA,10985.990305100684,10.115065560610114,2020-07-23,147675.0,3.157613058603157
Maryland,US,2020-07-24 05:30:54,39.0639,-76.8021,80836,3409,5434.0,71993.0,24.0,1337.086977808948,,12037.0,,84000024.0,USA,13051.319289145307,14.8906427829185,2020-07-23,789041.0,4.217180464149636
Massachusetts,US,2020-07-24 05:30:54,42.2302,-71.5301,114647,8484,96452.0,9711.0,25.0,1663.357999263838,,11761.0,,84000025.0,USA,15525.013191869484,10.258445489197277,2020-07-23,1070062.0,7.400106413600007
Michigan,US,2020-07-24 05:30:54,43.3266,-84.5361,84431,6395,55162.0,22874.0,26.0,845.4211370003595,1608660.0,,,84000026.0,USA,1.6107770442692833e-06,,2020-07-23,1586724.0,7.574232213286589
Minnesota,US,2020-07-24 05:30:54,45.6945,-93.9002,48721,1601,42524.0,4596.0,27.0,863.9038859273087,,4818.0,,84000027.0,USA,16052.731809451398,9.888959586215387,2020-07-23,905315.0,3.286057346934587
Mississippi,US,2020-07-24 05:30:54,32.7416,-89.6787,48053,1436,30315.0,16302.0,28.0,1614.6033011116042,,3878.0,,84000028.0,USA,13574.992381093823,8.07025575926581,2020-07-23,404012.0,2.988367011424885
Missouri,US,2020-07-24 05:30:54,38.4561,-92.2884,39057,1202,,,29.0,636.3740641845411,,,,84000029.0,USA,9829.589854251652,,2020-07-23,603284.0,3.0775533195073868
Montana,US,2020-07-24 05:30:54,46.9219,-110.4544,2909,43,1587.0,1279.0,30.0,272.1800037051661,,183.0,,84000030.0,USA,13680.857951791671,6.29082158817463,2020-07-23,146218.0,1.4781711928497765
Nebraska,US,2020-07-24 05:30:54,41.1254,-98.2681,23818,316,17499.0,6003.0,31.0,1231.2810947845542,,1522.0,,84000031.0,USA,12694.995057919528,6.390125115458897,2020-07-23,245573.0,1.3267276849441598
Nevada,US,2020-07-24 05:30:54,38.3135,-117.0554,39919,709,975.0,38235.0,32.0,1296.0057867198934,,,,84000032.0,USA,13445.293030612736,,2020-07-23,414136.0,1.7760965956061023
New Hampshire,US,2020-07-24 05:30:54,43.4525,-71.5639,6318,405,5341.0,572.0,33.0,464.6575632616049,,680.0,,84000033.0,USA,15506.824611994754,10.76289965178854,2020-07-23,210848.0,6.410256410256411
New Jersey,US,2020-07-24 05:30:54,40.2989,-74.521,179834,15730,31925.0,132179.0,34.0,2024.65833313631,,21184.0,,84000034.0,USA,20936.70592500273,11.908683602511706,2020-07-23,1859638.0,8.746955525651433
New Mexico,US,2020-07-24 05:30:54,34.8405,-106.2485,18163,596,6974.0,10593.0,35.0,866.2127431469138,,2470.0,,84000035.0,USA,23336.8577027502,13.599075042669163,2020-07-23,489334.0,3.281396245113693
New York,US,2020-07-24 05:30:54,42.1657,-74.9481,409697,32428,72466.0,304803.0,36.0,2106.025729685172,,89995.0,,84000036.0,USA,27595.65716528712,21.96623358237917,2020-07-23,5368338.0,7.915117757757562
North Carolina,US,2020-07-24 05:30:54,35.6301,-79.8064,107125,1756,78707.0,26662.0,37.0,1021.3972351861408,,,,84000037.0,USA,14527.67731456003,,2020-07-23,1523675.0,1.6392065344224038
North Dakota,US,2020-07-24 05:30:54,47.5289,-99.784,5606,97,4475.0,921.0,38.0,720.8074933535592,,322.0,,84000038.0,USA,18478.28654361456,5.862006189695976,2020-07-23,140816.0,1.765883852175496
